BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2227	2227
Contact period end (sample #):	7999	7999
Contact period start time (s):	2.227000	2.227000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	730.184998	730.184998
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.032219	0.389905
0.001000	-0.278755	-2.358387
0.002000	0.499935	6.582358
0.003000	-0.044479	-0.984040
0.004000	-0.200384	-1.671414
0.005000	0.499935	4.521049
0.006000	-0.122850	-1.671023
0.007000	0.188961	1.763468
0.008000	0.266495	1.422108
0.009000	0.266495	4.857764
0.010000	0.110590	-1.330436
0.011000	-0.200384	-2.012774
0.012000	0.266495	4.171173
0.013000	-0.200384	-3.732332
0.014000	0.110590	0.039267
0.015000	0.344866	2.796455
0.016000	-0.356289	-3.732723
0.017000	0.188961	0.730884
0.018000	0.422401	2.801089
0.019000	0.266495	3.147094
0.020000	-0.200384	-3.390982
0.021000	0.344030	4.512152
0.022000	0.110590	0.731265
0.023000	-0.044479	-1.671404
0.024000	0.422401	4.175045
0.025000	0.188961	0.389905
0.026000	0.032219	2.455477
0.027000	-0.122013	-0.988684
0.028000	0.032219	1.422490
0.029000	-0.044479	-0.297459
0.030000	-0.122850	-2.363413
0.031000	0.344030	5.545129
0.032000	-0.200384	-6.139263
0.033000	0.110590	0.389524
0.034000	0.421564	5.203769
0.035000	-0.278755	-3.390982
0.036000	0.422401	4.866661
0.037000	0.110590	0.048545
0.038000	0.188961	2.796837
0.039000	-0.122850	-3.050004
0.040000	-0.044479	-0.980179
0.041000	0.422401	5.545129
0.042000	-0.044479	-3.041107
0.043000	0.188961	2.455477
0.044000	0.188961	0.389905
0.045000	-0.122850	-2.703999
0.046000	0.188125	0.389524
0.047000	0.110590	0.730884
0.048000	0.110590	0.389905
0.049000	-0.044479	-2.704391
0.050000	0.266495	4.857764
0.051000	0.110590	-0.984050
0.052000	-0.044479	-2.017408
0.053000	0.422401	5.890741
0.054000	-0.044479	-0.297459
0.055000	0.110590	0.730884
0.056000	0.188961	-1.325792
0.057000	-0.122850	0.043901
0.058000	0.266495	1.080748
0.059000	-0.278755	-2.703999
0.060000	0.422401	6.918702
0.061000	-0.278755	-3.049612
0.062000	-0.122013	-0.984432
0.063000	0.110590	2.455477
0.064000	-0.668100	-8.546206
0.065000	-0.122850	-0.297078
0.066000	0.110590	0.389905
0.067000	0.110590	0.048545
0.068000	-0.278755	-3.045370
0.069000	-0.356289	-2.017027
0.070000	0.344030	4.857764
0.071000	-0.278755	-3.050004
0.072000	-0.122850	0.048545
0.073000	0.110590	-0.297459
0.074000	-0.356289	-4.765319
0.075000	0.032219	-2.017027
0.076000	0.110590	-0.984050
0.077000	-0.201220	-1.671414
0.078000	-0.513031	-4.755659
0.079000	0.110590	3.493087
0.080000	-0.200384	-3.044978
0.081000	-0.668100	-7.167225
0.082000	0.032219	2.114498
0.083000	-0.044479	-1.330436
0.084000	-0.044479	0.043901
0.085000	0.110590	-0.984050
0.086000	0.032219	0.389905
0.087000	-0.200384	-1.325410
0.088000	-0.356289	-4.419314
0.089000	0.110590	2.796837
0.090000	-0.513031	-4.760674
0.091000	-0.201220	-1.666770
0.092000	0.032219	-0.638056
0.093000	-0.668100	-7.508203
0.094000	0.110590	0.739770
0.095000	0.032219	0.048545
0.096000	-0.201220	-0.979798
0.097000	-0.356289	-4.415062
0.098000	-0.200384	-1.325410
0.099000	0.110590	0.731265
0.100000	-0.356289	-4.419314
0.101000	0.344030	4.857764
0.102000	-0.278755	-2.362639
0.103000	0.110590	-0.297459
0.104000	0.032219	-0.638819
0.105000	-0.278755	-1.671023
0.106000	0.032219	0.048545
0.107000	-0.513031	-6.821220
0.108000	-0.122850	1.763850
0.109000	-0.356289	-5.106678
0.110000	-0.200384	-4.073702
0.111000	0.499935	6.923718
0.112000	-0.668936	-7.167225
0.113000	0.266495	2.455477
0.114000	-0.122850	-1.330055
0.115000	-0.122850	-1.671414
0.116000	0.110590	-0.984432
0.117000	-0.200384	-4.419706
0.118000	0.188125	3.488062
0.119000	-0.355453	-4.760674
0.120000	0.033892	0.389905
0.121000	0.110590	2.114498
0.122000	-0.590565	-7.512837
0.123000	0.032219	1.081130
0.124000	-0.201220	-0.984050
0.125000	-0.513031	-3.728090
0.126000	-0.356289	-4.755659
0.127000	-0.122850	-0.297459
0.128000	0.032219	1.081130
0.129000	-0.513031	-5.788636
0.130000	0.188125	3.488062
0.131000	-0.201220	-1.666770
0.132000	-0.122850	-2.358387
0.133000	-0.122850	-0.984050
0.134000	-0.201220	-2.017408
0.135000	-0.044479	0.730884
0.136000	-0.200384	-3.390982
0.137000	0.188125	2.460503
0.138000	-0.513031	-4.419314
0.139000	-0.356289	-4.078336
0.140000	0.266495	4.516786
0.141000	-0.435496	-5.783991
0.142000	-0.122850	-0.984432
0.143000	-0.278755	-1.666389
