BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2011	2011
Contact period end (sample #):	7663	7663
Contact period start time (s):	2.011000	2.011000
Contact period end time (s):	7.663000	7.663000
First sample time (s):	0.000000	0.000000
Normalized force (N):	798.062988	798.062988
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.295001	1.921288
0.001000	-0.251086	-4.948097
0.002000	0.061561	-1.508951
0.003000	-0.173551	-2.200568
0.004000	0.059889	1.576056
0.005000	0.294165	2.608652
0.006000	-0.017646	-0.827004
0.007000	-0.017646	0.201720
0.008000	0.216630	2.949630
0.009000	0.605139	7.422897
0.010000	0.450070	5.365840
0.011000	0.216630	2.954264
0.012000	-0.096017	-0.481000
0.013000	0.294165	2.267673
0.014000	0.216630	1.921679
0.015000	-0.329456	-3.911249
0.016000	-0.096017	-2.200568
0.017000	-0.173551	-2.878272
0.018000	0.137423	3.646654
0.019000	-0.017646	0.201720
0.020000	-0.017646	-1.854955
0.021000	-0.173551	-2.541928
0.022000	0.528441	4.328611
0.023000	0.450070	7.768509
0.024000	0.450070	5.019836
0.025000	0.216630	2.613286
0.026000	-0.017646	1.230063
0.027000	0.294165	3.642020
0.028000	0.294165	2.608652
0.029000	-0.329456	-4.602474
0.030000	-0.096017	-2.882525
0.031000	-0.017646	-0.134996
0.032000	0.294165	3.295624
0.033000	-0.095180	-3.223885
0.034000	-0.017646	-1.854955
0.035000	-0.329456	-6.668437
0.036000	0.294165	2.608652
0.037000	0.528441	7.081155
0.038000	0.294165	3.642020
0.039000	0.294165	2.608652
0.040000	0.059889	0.893337
0.041000	0.294165	5.020217
0.042000	-0.251922	1.230052
0.043000	-0.173551	-1.859208
0.044000	-0.096017	-2.882525
0.045000	-0.173551	-0.826612
0.046000	0.216630	2.608652
0.047000	-0.095180	-2.541928
0.048000	-0.017646	-0.821979
0.049000	-0.173551	-3.579157
0.050000	0.294165	3.982999
0.051000	0.294165	2.950012
0.052000	0.059889	0.893337
0.053000	0.295001	3.646273
0.054000	0.294165	4.678857
0.055000	0.450070	6.740177
0.056000	0.294165	3.987633
0.057000	0.059889	1.922061
0.058000	-0.251086	-2.200568
0.059000	-0.017646	-0.481000
0.060000	0.294165	1.234697
0.061000	-0.173551	-2.887932
0.062000	-0.173551	-3.224276
0.063000	-0.096017	-2.200568
0.064000	0.059889	1.234697
0.065000	0.139096	1.575675
0.066000	0.139096	-0.139259
0.067000	0.059889	1.234697
0.068000	0.450070	5.707200
0.069000	0.372535	7.422897
0.070000	0.294165	2.950012
0.071000	0.216630	1.917416
0.072000	-0.096017	-1.167591
0.073000	0.139096	1.234697
0.074000	0.216630	1.575675
0.075000	-0.329456	-3.569889
0.076000	-0.096017	-2.200568
0.077000	-0.017646	-1.513595
0.078000	0.294165	2.950012
0.079000	0.216630	1.234315
0.080000	-0.095180	-1.513977
0.081000	0.139096	0.201720
0.082000	0.450070	5.707200
0.083000	0.761880	9.824803
0.084000	0.059889	2.608260
0.085000	0.216630	3.642020
0.086000	-0.096017	-0.481000
0.087000	0.139096	1.921669
0.088000	-0.096017	-0.139259
0.089000	-0.017646	-2.196315
0.090000	-0.251922	-3.569889
0.091000	-0.017646	0.206746
0.092000	-0.017646	1.575675
0.093000	0.139096	-0.481000
0.094000	-0.173551	-2.200568
0.095000	-0.017646	-0.481000
0.096000	0.294165	4.328611
0.097000	0.682673	9.142464
0.098000	0.216630	2.263039
0.099000	0.216630	1.922061
0.100000	-0.017646	0.547724
0.101000	0.059889	2.609033
0.102000	0.294165	2.609033
0.103000	-0.173551	-3.579157
0.104000	-0.173551	-3.573749
0.105000	0.059889	-0.481000
0.106000	0.216630	1.576056
0.107000	-0.096017	-2.200568
0.108000	-0.096017	-2.200568
0.109000	-0.173551	-2.541928
0.110000	0.371699	4.678857
0.111000	0.683510	7.422897
0.112000	0.294165	2.608652
0.113000	0.216630	2.267292
0.114000	0.216630	3.642020
0.115000	0.059889	2.613286
0.116000	0.059889	2.608652
0.117000	-0.329456	-2.882525
0.118000	-0.484525	-6.327077
0.119000	-0.251922	-3.228921
0.120000	0.059889	0.547332
0.121000	-0.484525	-6.322041
0.122000	-0.251922	-4.602092
0.123000	-0.484525	-5.630435
0.124000	-0.096017	0.547332
0.125000	0.216630	1.926313
0.126000	-0.017646	-0.139259
0.127000	-0.096017	-0.139259
0.128000	0.059889	2.609033
0.129000	-0.018482	2.954646
0.130000	-0.017646	2.267673
0.131000	-0.174387	-1.509343
0.132000	-0.329456	-5.289456
0.133000	-0.251086	-2.882525
0.134000	-0.096017	-1.167591
0.135000	-0.329456	-4.948086
0.136000	-0.173551	-3.223885
0.137000	-0.407827	-3.569889
0.138000	-0.096017	-0.139259
0.139000	0.059889	0.893337
0.140000	-0.096017	-2.195552
0.141000	-0.251922	-1.854955
0.142000	0.294165	5.020217
0.143000	0.137423	5.020217
0.144000	0.216630	2.267673
