BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	1146	1146
Contact period end (sample #):	2080	2080
Contact period start time (s):	1.146000	1.146000
Contact period end time (s):	2.080000	2.080000
First sample time (s):	0.000000	0.000000
Normalized force (N):	690.997009	690.997009
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.366379	-2.107363
0.001000	-0.598983	-6.575996
0.002000	-0.132103	-0.046817
0.003000	-0.132103	-0.734181
0.004000	-0.598983	-3.481700
0.005000	-0.132103	-1.425406
0.006000	-0.053733	0.298795
0.007000	-0.053733	0.294161
0.008000	-0.288009	-2.799743
0.009000	-0.443914	-4.173709
0.010000	-0.210474	1.327138
0.011000	-0.210474	-2.112770
0.012000	0.023802	2.014492
0.013000	-0.210474	-0.729156
0.014000	-0.288009	-2.799361
0.015000	0.023802	2.014492
0.016000	-0.598983	-5.206685
0.017000	-0.288009	-2.107745
0.018000	-0.132103	0.986159
0.019000	-0.365543	-4.173709
0.020000	-0.054569	3.037427
0.021000	-0.366379	-3.145758
0.022000	-0.209638	-2.799743
0.023000	0.179707	4.074656
0.024000	-0.209638	-3.146139
0.025000	-0.288009	-3.140721
0.026000	0.413147	8.542516
0.027000	-0.365543	-2.454130
0.028000	-0.132103	-1.771411
0.029000	0.179707	5.444359
0.030000	-0.287172	-4.174090
0.031000	0.179707	3.729044
0.032000	0.102173	3.037427
0.033000	0.023802	-0.739207
0.034000	0.023802	3.729044
0.035000	-0.053733	0.639774
0.036000	-0.288009	-2.799743
0.037000	0.258078	5.790353
0.038000	-0.132103	-0.388177
0.039000	-0.053733	-0.388177
0.040000	0.413147	6.130950
0.041000	-0.443914	-5.211319
0.042000	0.023802	0.294161
0.043000	0.179707	3.383040
0.044000	-0.443914	-4.519702
0.045000	0.101336	3.729044
0.046000	-0.210474	-0.734181
0.047000	-0.132103	-1.766766
0.048000	0.023802	0.639774
0.049000	0.023802	1.327138
0.050000	-0.132103	0.294161
0.051000	0.179707	2.700712
0.052000	-0.210474	-0.734181
0.053000	0.023802	1.326746
0.054000	-0.053733	-0.392821
0.055000	-0.288009	-1.425406
0.056000	0.413147	5.789972
0.057000	0.179707	3.037427
0.058000	0.023802	2.355470
0.059000	0.023802	1.321731
0.060000	-0.132103	0.639774
0.061000	-0.132103	0.294161
0.062000	-0.209638	-3.140721
0.063000	0.023802	3.383040
0.064000	-0.132103	0.639774
0.065000	-0.209638	-1.766766
0.066000	0.022966	4.070404
0.067000	-0.053733	-0.047199
0.068000	-0.209638	-3.140721
0.069000	0.334776	5.789972
0.070000	-0.132103	-2.453749
0.071000	-0.288009	-3.481700
0.072000	0.179707	5.448993
0.073000	-0.287172	-4.174090
0.074000	0.102173	2.364367
0.075000	0.101336	4.070404
0.076000	-0.053733	-0.734181
0.077000	0.413147	5.444359
0.078000	0.023802	0.975727
0.079000	-0.209638	-2.458383
0.080000	0.490681	5.789972
0.081000	-0.287172	-3.487118
0.082000	-0.288009	-2.112770
0.083000	0.413147	8.888520
0.084000	-0.209638	-2.799743
0.085000	-0.210474	-0.392821
0.086000	0.101336	4.411383
0.087000	-0.755724	-6.922382
0.088000	-0.053733	3.037427
0.089000	0.023802	2.009095
0.090000	-0.288009	-3.833111
0.091000	0.023802	3.383040
0.092000	0.023802	1.663091
0.093000	-0.132103	0.298795
0.094000	0.101336	3.037427
0.095000	-0.132103	0.985386
0.096000	-0.053733	2.691423
0.097000	0.023802	2.355470
0.098000	-0.209638	-2.458383
0.099000	0.023802	2.355078
0.100000	0.023802	0.639774
0.101000	-0.365543	-1.080186
0.102000	0.101336	3.037427
0.103000	0.179707	3.037427
0.104000	-0.132103	-1.084428
0.105000	-0.132103	-2.458383
0.106000	-0.288009	-1.766766
0.107000	-0.132103	-0.734181
0.108000	-0.209638	-2.112379
0.109000	0.023802	1.331772
0.110000	0.023802	0.639774
0.111000	-0.132103	-1.430432
0.112000	0.101336	2.355470
0.113000	-0.053733	-0.734181
0.114000	-0.209638	-0.393203
0.115000	0.334776	6.823340
0.116000	-0.132103	-1.766766
0.117000	0.102173	2.009095
0.118000	0.179707	4.757376
0.119000	-0.209638	-3.832730
0.120000	0.413147	5.789972
0.121000	-0.210474	0.294161
0.122000	-0.210474	-1.430432
0.123000	0.413147	6.131332
0.124000	-0.365543	-4.174090
0.125000	-0.365543	-3.827694
0.126000	0.179707	5.444741
0.127000	-0.443914	-5.552298
0.128000	0.023802	0.639774
0.129000	0.179707	5.444359
0.130000	-0.365543	-4.523955
0.131000	0.023802	2.355470
0.132000	-0.053733	0.294161
0.133000	-0.131267	-3.837364
0.134000	0.101336	4.757376
0.135000	-0.132103	-0.051843
0.136000	-0.288009	-2.795109
0.137000	0.334776	5.444359
0.138000	-0.288009	-2.112389
0.139000	0.023802	1.327138
0.140000	0.179707	4.074656
0.141000	-0.209638	-2.454130
0.142000	0.023802	1.672750
0.143000	0.023802	2.696830
