BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	1867	1867
Contact period end (sample #):	5689	5689
Contact period start time (s):	1.867000	1.867000
Contact period end time (s):	5.689000	5.689000
First sample time (s):	0.000000	0.000000
Normalized force (N):	632.906006	632.906006
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.362035	0.657138
0.001000	0.751380	3.750650
0.002000	0.284501	-1.755211
0.003000	0.205293	-0.375849
0.004000	0.596311	2.376314
0.005000	0.127759	-2.782781
0.006000	1.063191	7.531919
0.007000	-0.105681	-5.535706
0.008000	0.517940	2.026449
0.009000	0.517940	3.404646
0.010000	-0.104844	-4.498477
0.011000	0.440406	2.025665
0.012000	0.517940	0.993080
0.013000	0.595475	3.754903
0.014000	0.362035	-0.380875
0.015000	0.439570	0.310742
0.016000	0.751380	6.152938
0.017000	0.127759	-2.096190
0.018000	0.673846	3.746017
0.019000	0.362035	0.647076
0.020000	0.284501	-1.067847
0.021000	0.439570	-0.722235
0.022000	0.439570	1.680837
0.023000	0.517940	1.343327
0.024000	0.517940	-0.726869
0.025000	0.829751	6.844555
0.026000	0.362035	-1.063213
0.027000	0.362035	-0.380875
0.028000	0.596311	2.367809
0.029000	0.284501	-0.380875
0.030000	0.829751	4.427582
0.031000	0.440406	-3.128785
0.032000	0.829751	7.867872
0.033000	0.284501	-2.787807
0.034000	0.362035	-1.067847
0.035000	1.063191	8.900467
0.036000	-0.105681	-5.535706
0.037000	0.596311	2.717674
0.038000	0.440406	0.652102
0.039000	0.517940	2.025665
0.040000	0.517940	1.343327
0.041000	0.440406	-0.380875
0.042000	0.906449	7.181662
0.043000	0.284501	-2.096190
0.044000	0.673846	5.801918
0.045000	0.517940	0.652102
0.046000	-0.027310	-4.157499
0.047000	0.596311	2.717674
0.048000	0.440406	0.647468
0.049000	0.596311	2.025665
0.050000	-0.027310	-4.498869
0.051000	0.440406	3.063668
0.052000	0.362035	0.316160
0.053000	-0.105681	-4.498477
0.054000	0.751380	6.152938
0.055000	0.205293	-1.754830
0.056000	0.284501	-1.063213
0.057000	0.127759	-1.063213
0.058000	0.207802	-0.034489
0.059000	0.362035	-0.721853
0.060000	-0.027310	-3.128785
0.061000	0.673846	5.461321
0.062000	0.049388	-4.157117
0.063000	0.362035	-1.063213
0.064000	0.517940	-0.380875
0.065000	-0.339121	-6.905028
0.066000	0.517940	0.652102
0.067000	0.362035	0.306490
0.068000	0.440406	4.087366
0.069000	0.129432	-2.787807
0.070000	0.517940	2.026449
0.071000	0.362035	0.306098
0.072000	-0.105681	-5.867799
0.073000	0.362035	-0.030236
0.074000	0.362035	-1.750196
0.075000	-0.105681	-2.782781
0.076000	-0.027310	-4.157117
0.077000	0.439570	1.343327
0.078000	0.362035	0.652102
0.079000	-0.027310	-5.185079
0.080000	0.829751	7.867872
0.081000	0.127759	-2.787807
0.082000	0.205293	-1.754830
0.083000	0.049388	-2.095808
0.084000	0.362035	-1.754830
0.085000	0.595475	1.002348
0.086000	-0.027310	-3.124522
0.087000	0.595475	4.778983
0.088000	-0.260750	-5.190486
0.089000	-0.027310	-2.096190
0.090000	0.595475	4.087366
0.091000	-0.339121	-6.905028
0.092000	0.517940	0.993080
0.093000	0.284501	-0.721853
0.094000	0.439570	1.684305
0.095000	0.127759	-2.783173
0.096000	0.284501	-1.063213
0.097000	0.517940	3.404646
0.098000	-0.027310	-4.157509
0.099000	0.440406	0.652102
0.100000	0.362035	-0.034870
0.101000	-0.105681	-3.128785
0.102000	0.284501	-2.096190
0.103000	0.284501	-0.376241
0.104000	0.284501	-0.030236
0.105000	0.127759	-2.441802
0.106000	0.673846	5.124987
0.107000	-0.027310	-2.783173
0.108000	0.129432	-3.811505
0.109000	0.517940	2.717674
0.110000	-0.027310	-2.096190
0.111000	0.362035	0.652102
0.112000	-0.027310	-2.442194
0.113000	0.362035	2.722308
0.114000	-0.027310	-3.128785
0.115000	-0.105681	-4.839074
0.116000	0.829751	6.153320
0.117000	-0.260750	-7.942649
0.118000	0.362035	0.310742
0.119000	0.284501	-0.721853
0.120000	-0.027310	-2.100442
0.121000	0.362035	0.647076
0.122000	-0.105681	-3.128785
0.123000	0.673846	5.124987
0.124000	-0.105681	-5.180434
0.125000	0.284501	-0.380875
0.126000	0.284501	0.652102
0.127000	-0.183215	-7.250640
0.128000	0.440406	1.685089
0.129000	0.127759	-0.380875
0.130000	-0.027310	-1.754830
0.131000	-0.104844	-5.867417
0.132000	0.439570	3.063678
0.133000	0.127759	-1.750196
0.134000	0.127759	-3.470526
0.135000	0.673846	3.404646
0.136000	0.127759	-1.063213
0.137000	0.284501	-1.754830
0.138000	0.362871	-1.754830
0.139000	0.440406	-0.721853
0.140000	0.440406	0.997323
0.141000	-0.027310	-5.185079
0.142000	0.517104	5.119961
0.143000	0.205293	-4.152865
0.144000	0.127759	-2.442194
0.145000	0.362035	1.343327
