BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	5	5
Contact period end (sample #):	7999	7999
Contact period start time (s):	0.005000	0.005000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	795.046021	795.046021
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.287259	0.558516
0.001000	-0.363957	-0.820454
0.002000	0.181293	5.713359
0.003000	-0.131354	3.993410
0.004000	-0.442328	-0.815428
0.005000	0.570638	11.559818
0.006000	-0.442328	-1.156799
0.007000	-0.363957	0.212522
0.008000	0.258828	6.741310
0.009000	-0.442328	-0.469435
0.010000	0.102922	5.030639
0.011000	-0.363957	-0.128456
0.012000	-0.131354	4.339022
0.013000	-0.131354	0.553882
0.014000	-0.363957	-1.161433
0.015000	0.570638	11.213813
0.016000	-0.597397	-4.251084
0.017000	-0.208888	2.964685
0.018000	-0.131354	5.367746
0.019000	-0.519862	-1.848405
0.020000	0.102922	5.713359
0.021000	-0.209724	2.624088
0.022000	-0.131354	3.997662
0.023000	-0.363957	0.894480
0.024000	-0.052146	2.273461
0.025000	0.258828	8.802629
0.026000	0.026224	3.652050
0.027000	-0.131354	6.400723
0.028000	-0.208888	1.250525
0.029000	-0.675768	-4.250703
0.030000	0.102922	5.713359
0.031000	-0.208888	0.899495
0.032000	-0.208888	2.282728
0.033000	-0.207215	-0.128837
0.034000	-0.131354	3.993410
0.035000	0.181293	5.026005
0.036000	-0.208888	-0.474450
0.037000	0.492268	9.840250
0.038000	-0.363957	-1.502793
0.039000	-0.675768	-1.843771
0.040000	0.337199	8.119909
0.041000	-0.442328	-0.128456
0.042000	0.181293	6.059363
0.043000	-0.208888	0.899495
0.044000	0.103759	5.025613
0.045000	-0.363957	2.273461
0.046000	-0.208888	-0.128837
0.047000	-0.209724	4.685397
0.048000	-0.519862	-2.531125
0.049000	-0.208888	1.591503
0.050000	0.258828	7.428292
0.051000	-0.598233	-3.563720
0.052000	0.102922	6.741310
0.053000	0.025388	4.685026
0.054000	-0.208888	1.250525
0.055000	-0.052146	0.212904
0.056000	-0.363957	2.273461
0.057000	0.258828	9.153278
0.058000	-0.363957	0.553882
0.059000	0.181293	7.087314
0.060000	-0.287259	2.624088
0.061000	-0.675768	-3.564112
0.062000	0.181293	6.741701
0.063000	-0.131354	1.937508
0.064000	-0.208888	2.282728
0.065000	-0.442328	-0.811176
0.066000	-0.208888	2.624088
0.067000	0.181293	4.680000
0.068000	-0.442328	-1.161433
0.069000	0.102922	7.083061
0.070000	-0.520699	-1.848405
0.071000	-0.519862	-2.877129
0.072000	0.258828	8.461269
0.073000	-0.363957	-0.129229
0.074000	0.181293	4.680000
0.075000	0.258828	6.395316
0.076000	-0.442328	1.932863
0.077000	0.181293	6.054337
0.078000	-0.208888	-0.128456
0.079000	-0.131354	5.031402
0.080000	-0.519862	-2.189384
0.081000	-0.363957	1.250525
0.082000	0.493104	8.461269
0.083000	-0.597397	-2.535388
0.084000	0.181293	5.713359
0.085000	-0.052146	3.993410
0.086000	-0.208888	2.273461
0.087000	0.025388	1.240855
0.088000	0.025388	1.591503
0.089000	0.180457	4.339022
0.090000	-0.598233	-1.843771
0.091000	0.181293	7.087314
0.092000	0.181293	5.713359
0.093000	-0.442328	-0.815428
0.094000	0.259664	6.741310
0.095000	-0.052146	3.997662
0.096000	-0.363957	-0.128456
0.097000	-0.052146	1.245891
0.098000	-0.287259	1.591503
0.099000	-0.208888	1.932863
0.100000	-0.442328	-0.820454
0.101000	0.337199	8.120290
0.102000	-0.519862	-2.526491
0.103000	-0.441492	-1.161433
0.104000	0.337199	9.143607
0.105000	-0.363957	-1.848405
0.106000	0.181293	4.685026
0.107000	0.025388	4.339022
0.108000	-0.598233	-0.815047
0.109000	-0.052146	3.997662
0.110000	-0.442328	0.558516
0.111000	0.025388	5.713359
0.112000	-0.363957	-1.507818
0.113000	-0.052146	1.591503
0.114000	0.181293	7.769652
0.115000	-0.208888	-0.474450
0.116000	0.103759	6.054337
0.117000	-0.131354	2.970092
0.118000	-0.675768	-3.213474
0.119000	-0.442328	-1.156799
0.120000	-0.676604	-2.530754
0.121000	-0.442328	0.909165
0.122000	-0.675768	-2.535388
0.123000	-0.052146	4.339022
0.124000	-0.208888	1.932863
0.125000	-0.363957	-0.479094
0.126000	-0.131354	4.681145
0.127000	-0.363957	0.899495
0.128000	-0.442328	0.217156
0.129000	-0.442328	-0.469816
0.130000	-0.754138	-3.904699
0.131000	-0.208888	2.624088
0.132000	-0.519862	-0.815428
0.133000	0.025388	6.746335
0.134000	-0.519862	-2.535388
0.135000	-0.675768	-3.909725
0.136000	-0.131354	6.054719
0.137000	-0.675768	-3.559086
0.138000	-0.208888	1.937508
0.139000	-0.520699	-0.123822
0.140000	-0.519862	-1.156799
0.141000	-0.208888	2.974726
0.142000	-0.208888	2.282728
0.143000	-0.208888	4.339022
