BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2180	2180
Contact period end (sample #):	7837	7837
Contact period start time (s):	2.180000	2.180000
Contact period end time (s):	7.837000	7.837000
First sample time (s):	0.000000	0.000000
Normalized force (N):	842.598938	842.598938
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.391283	-2.793989
0.001000	0.544148	5.796117
0.002000	-0.079473	-0.046079
0.003000	0.153967	2.024508
0.004000	0.075596	-0.733062
0.005000	0.387407	4.426796
0.006000	0.075596	-0.728428
0.007000	-0.002775	-2.443351
0.008000	0.699217	7.174706
0.009000	-0.391283	-5.537647
0.010000	0.153131	0.650161
0.011000	-0.002775	0.295663
0.012000	-0.157007	-1.766038
0.013000	0.232338	3.052851
0.014000	-0.001102	-0.045697
0.015000	0.309872	6.137477
0.016000	-0.079473	-1.761394
0.017000	0.309872	4.426033
0.018000	0.231501	3.052851
0.019000	-0.547189	-7.252189
0.020000	0.387407	3.398464
0.021000	0.075596	-0.728428
0.022000	-0.157844	-2.101991
0.023000	-0.312913	-4.509696
0.024000	0.075596	2.365868
0.025000	-0.157007	-0.728046
0.026000	-0.312913	-3.480972
0.027000	0.387407	5.118413
0.028000	-0.235378	-1.760631
0.029000	-0.079473	-1.756379
0.030000	-0.235378	-4.509304
0.031000	-0.157844	-1.074040
0.032000	-0.313749	-4.504670
0.033000	-0.391283	-4.850283
0.034000	0.153131	5.118413
0.035000	-0.157007	-2.101991
0.036000	-0.157007	-0.387068
0.037000	-0.157007	-2.447995
0.038000	-0.390447	-2.447603
0.039000	-0.235378	-1.761012
0.040000	-0.312913	-4.855309
0.041000	0.153967	4.426796
0.042000	-0.547189	-6.574876
0.043000	-0.157007	-0.041063
0.044000	0.153967	1.333284
0.045000	-0.312913	-2.793989
0.046000	0.309872	2.711873
0.047000	-0.391283	-2.793608
0.048000	-0.079473	1.332881
0.049000	-0.624723	-5.196669
0.050000	-0.157007	-1.073648
0.051000	0.153967	3.398464
0.052000	-0.468818	-7.266885
0.053000	0.153131	2.370513
0.054000	-0.079473	-0.382042
0.055000	-0.079473	-1.073659
0.056000	-0.391283	-4.509304
0.057000	-0.234542	-2.447995
0.058000	-0.079473	0.641275
0.059000	-0.391283	-4.509304
0.060000	0.075596	2.711481
0.061000	-0.079473	-0.041063
0.062000	-0.313749	-2.789355
0.063000	-0.391283	-4.163300
0.064000	-0.312913	-1.415019
0.065000	-0.468818	-2.448377
0.066000	-0.312913	-3.139612
0.067000	0.232338	5.108753
0.068000	-0.312913	-2.789355
0.069000	-0.001102	0.299915
0.070000	-0.079473	0.299915
0.071000	-0.157007	-1.760631
0.072000	-0.079473	-0.386676
0.073000	-0.312913	-4.850283
0.074000	0.231501	4.076539
0.075000	-0.781465	-7.598193
0.076000	-0.235378	-2.789355
0.077000	0.232338	3.740205
0.078000	-0.235378	-3.134968
0.079000	0.309872	2.365868
0.080000	-0.078637	-1.069396
0.081000	0.153967	2.716506
0.082000	-0.312913	-4.504670
0.083000	-0.235378	-4.504670
0.084000	0.309872	5.459773
0.085000	-0.624723	-9.322786
0.086000	-0.001102	2.024508
0.087000	-0.157007	-0.391702
0.088000	-0.157007	-1.074040
0.089000	-0.234542	-2.447995
0.090000	-0.234542	-1.761012
0.091000	0.309872	4.081183
0.092000	-0.234542	-3.480972
0.093000	-0.157007	-0.728428
0.094000	-0.234542	-1.760631
0.095000	-0.468818	-4.509304
0.096000	-0.078637	-1.415019
0.097000	-0.079473	-0.387057
0.098000	-0.079473	-0.733062
0.099000	-0.078637	-1.761012
0.100000	0.153967	3.735179
0.101000	-0.078637	-1.420044
0.102000	-0.312913	-2.793989
0.103000	-0.001102	0.299915
0.104000	-0.157007	-1.078684
0.105000	-0.079473	-1.074040
0.106000	-0.157007	-3.472075
0.107000	0.544148	5.805777
0.108000	-0.468818	-6.560964
0.109000	-0.391283	-4.850283
0.110000	0.309872	4.768156
0.111000	-0.312076	-4.163692
0.112000	-0.078637	0.982635
0.113000	-0.234542	-2.452629
0.114000	-0.157007	1.673860
0.115000	-0.468818	-2.452629
0.116000	-0.157007	-2.111651
0.117000	0.232338	5.114542
0.118000	-0.468818	-7.943806
0.119000	-0.157007	-1.074040
0.120000	0.153131	0.650945
0.121000	-0.468818	-4.850283
0.122000	-0.001102	-0.041063
0.123000	-0.157007	-0.391702
0.124000	0.232338	5.109516
0.125000	-0.234542	-2.447603
0.126000	-0.001102	0.646311
0.127000	0.232338	2.024508
0.128000	-0.624723	-6.575258
0.129000	-0.235378	-1.760631
0.130000	-0.079473	-0.728036
0.131000	-0.157844	-1.074040
0.132000	-0.079473	-3.472075
0.133000	0.231501	4.426796
0.134000	-0.001102	-0.041063
0.135000	-0.234542	-3.818079
0.136000	0.153967	3.735571
0.137000	-0.390447	-1.765657
0.138000	-0.312913	-1.761012
0.139000	-0.468818	-4.855309
0.140000	-0.079473	3.057485
