BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	31	31
Contact period end (sample #):	7717	7717
Contact period start time (s):	0.031000	0.031000
Contact period end time (s):	7.717000	7.717000
First sample time (s):	0.000000	0.000000
Normalized force (N):	687.536987	687.536987
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.591052	5.071301
0.001000	-0.668586	3.360620
0.002000	-1.213836	-1.452852
0.003000	-1.213836	1.299692
0.004000	-1.213836	1.986665
0.005000	-0.902026	0.266716
0.006000	-0.902026	0.607694
0.007000	-0.902026	1.645305
0.008000	-0.746121	3.706624
0.009000	-1.292207	-1.789186
0.010000	-0.591052	6.801302
0.011000	-1.291371	-4.196891
0.012000	-1.291371	-2.822544
0.013000	-0.590215	8.515462
0.014000	-1.524811	-5.233739
0.015000	-0.902026	2.673647
0.016000	-0.512681	6.449890
0.017000	-1.603181	-5.575099
0.018000	-1.058767	1.295048
0.019000	-0.903698	2.673647
0.020000	-1.292207	-1.793830
0.021000	-1.137138	-0.069619
0.022000	-0.826164	3.369898
0.023000	-1.058767	1.986665
0.024000	-1.213836	-0.419865
0.025000	-0.902026	3.015007
0.026000	-0.902026	2.332669
0.027000	-0.746121	0.953698
0.028000	-0.746121	6.104278
0.029000	-1.213836	0.612720
0.030000	-1.213836	-2.139824
0.031000	-0.434310	10.576782
0.032000	-1.213836	-1.106848
0.033000	-1.137138	0.266716
0.034000	-0.512681	6.449890
0.035000	-1.292207	-1.106848
0.036000	-0.824491	2.678292
0.037000	-1.369742	0.613101
0.038000	-0.823655	1.991309
0.039000	-0.591052	4.734194
0.040000	-0.902026	1.299692
0.041000	-0.824491	3.711258
0.042000	-1.058767	-1.452852
0.043000	-0.902026	1.645697
0.044000	-0.590215	8.515462
0.045000	-1.213836	-1.448208
0.046000	-0.823655	5.416914
0.047000	-1.369742	0.613101
0.048000	-1.213836	-1.794212
0.049000	-0.668586	7.137646
0.050000	-1.137138	0.612720
0.051000	-1.058767	0.271741
0.052000	-0.669422	4.389344
0.053000	-1.058767	1.304326
0.054000	-1.058767	1.641052
0.055000	-0.746121	1.986283
0.056000	-0.667750	4.734585
0.057000	-0.590215	5.757892
0.058000	-0.823655	3.355605
0.059000	-0.590215	7.824237
0.060000	-0.823655	3.014245
0.061000	-1.058767	-0.078505
0.062000	-0.435146	7.833124
0.063000	-1.059604	-0.756983
0.064000	-0.746957	1.991309
0.065000	-0.280077	9.548439
0.066000	-1.058767	-0.415623
0.067000	-0.435146	6.449890
0.068000	-0.591052	5.417305
0.069000	-1.447276	-4.546756
0.070000	-0.511845	5.758665
0.071000	-0.746121	4.042969
0.072000	-0.746121	3.361012
0.073000	-0.824491	1.986283
0.074000	-0.824491	3.706624
0.075000	-0.746957	3.365264
0.076000	-0.824491	0.271360
0.077000	-0.513517	7.824237
0.078000	-0.746957	2.328035
0.079000	-1.213836	-0.424509
0.080000	-0.356776	10.576782
0.081000	-1.292207	-2.139824
0.082000	-0.824491	0.953698
0.083000	-0.201707	9.894443
0.084000	-1.292207	-2.139824
0.085000	-0.824491	3.019260
0.086000	-0.356776	8.520107
0.087000	-1.213836	-1.111873
0.088000	-0.512681	6.800539
0.089000	-0.511845	5.762918
0.090000	-1.057095	1.986675
0.091000	-1.057095	0.954080
0.092000	-0.746121	4.388581
0.093000	-0.590215	6.103896
0.094000	-0.902026	0.266716
0.095000	-0.746121	5.080198
0.096000	-0.512681	6.790869
0.097000	-1.213836	-0.415623
0.098000	-0.591052	7.141899
0.099000	-0.668586	2.332288
0.100000	-0.824491	0.612339
0.101000	-0.435146	9.889799
0.102000	-0.902026	1.991309
0.103000	-0.668586	5.416914
0.104000	-0.512681	6.104278
0.105000	-0.902026	1.299311
0.106000	-0.746121	5.071301
0.107000	-0.902026	2.673647
0.108000	-0.667750	5.762918
0.109000	-0.668586	3.706624
0.110000	-0.590215	4.047221
0.111000	-0.591052	6.449890
0.112000	-1.058767	-0.415623
0.113000	-0.668586	2.673647
0.114000	-0.435146	9.202826
0.115000	-0.746121	1.991309
0.116000	-0.512681	6.108530
0.117000	-0.746957	3.361012
0.118000	-1.213836	-1.448208
0.119000	-0.746121	5.762918
0.120000	-0.590215	4.042969
0.121000	-1.057095	2.663988
0.122000	-0.511845	6.445256
0.123000	-0.668586	4.042969
0.124000	-0.668586	3.361012
0.125000	-0.824491	1.299692
0.126000	-0.824491	1.991309
0.127000	-0.512681	5.762918
0.128000	-0.981233	0.958332
0.129000	-0.513517	8.174484
0.130000	-0.746121	2.668632
0.131000	-1.058767	-1.448208
0.132000	-0.435146	9.202826
0.133000	-1.213836	-1.794212
0.134000	-0.668586	3.365264
0.135000	-0.435146	7.482877
0.136000	-1.213836	-2.139824
0.137000	-0.434310	7.824237
0.138000	-0.902026	2.673647
0.139000	-1.057095	0.266716
0.140000	-0.590215	5.071301
0.141000	-0.590215	3.707016
0.142000	-0.824491	2.673647
