partID,measure,movement,leg,rep,result_n,result_bw,age,gender,height,boxRatio,weight,weightKg,yearsTraining,preferredFoot
A01,HorzPeak,Kong,Running,3,659.563416,0.9586677558139535,28,Male,169.1,0.57,688,70.1,10,Left
A02,VertPeak,Drop,Precision,1,1202.0642395,2.030513918074324,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Drop,Precision,2,896.513298,1.514380570945946,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Drop,Precision,3,1100.3246535,1.8586565092905407,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Drop,Running,1,1897.833593,3.205799988175676,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Drop,Running,2,1540.720811,2.6025689375,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Drop,Running,3,1800.065125,3.040650548986487,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Step,Precision,1,1243.3691175,2.1002856714527027,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Step,Precision,2,1351.629135,2.283157322635135,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Step,Precision,3,1437.060791,2.427467552364865,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Step,Running,1,1691.746004,2.857679060810811,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Step,Running,2,2008.805016,3.3932517162162164,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Step,Running,3,2211.504257,3.73564908277027,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Dash,Precision,1,1142.4652405,1.9298399332770269,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Dash,Precision,2,1126.260998,1.902467902027027,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Dash,Precision,3,1354.8546525,2.2886058319256755,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Dash,Running,1,1347.142509,2.2755785625000002,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Dash,Running,2,1236.975914,2.0894863412162166,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Dash,Running,3,1331.825283,2.2497048699324322,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Kong,Precision,1,1533.7021105,2.590713024493243,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Kong,Precision,2,1593.057205,2.690975008445946,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Kong,Precision,3,1643.0912055,2.7754919011824324,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Kong,Running,1,2007.860114,3.391655597972973,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Kong,Running,2,1902.395493,3.2135059003378377,32,Female,160.2,0.6,592,60.3,7,Right
A02,VertPeak,Kong,Running,3,1912.534271,3.230632214527027,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Drop,Precision,1,284.46653,0.48051778716216215,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Drop,Precision,2,208.445938,0.352104625,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Drop,Precision,3,254.475876,0.42985789864864865,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Drop,Running,1,277.668045,0.4690338597972973,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Drop,Running,2,223.347618,0.37727638175675676,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Drop,Running,3,341.277084,0.5764815608108108,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Step,Precision,1,333.150131,0.5627535996621621,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Step,Precision,2,386.9959565,0.6537093859797297,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Step,Precision,3,268.506706,0.453558625,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Step,Running,1,281.116684,0.47485926351351354,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Step,Running,2,352.893867,0.5961045050675675,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Step,Running,3,382.432724,0.646001222972973,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Dash,Precision,1,202.7253725,0.34244150760135134,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Dash,Precision,2,208.7211305,0.35256947719594595,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Dash,Precision,3,209.356354,0.3536424898648649,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Dash,Running,1,157.07262,0.2653253716216216,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Dash,Running,2,113.700275,0.19206127533783784,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Dash,Running,3,130.002636,0.2195990472972973,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Kong,Precision,1,446.364273,0.753993704391892,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Kong,Precision,2,351.349167,0.593495214527027,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Kong,Precision,3,410.801132,0.693920831081081,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Kong,Running,1,479.257675,0.809556883445946,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Kong,Running,2,503.999924,0.851351222972973,32,Female,160.2,0.6,592,60.3,7,Right
A02,HorzPeak,Kong,Running,3,461.325577,0.7792661773648649,32,Female,160.2,0.6,592,60.3,7,Right
